0.02,0,0
0.06,0.03,-0.04
0.11,0.03,-0.03
-0.15,-0.04,0.21
-0.07,0.03,0.09
-0.02,-0.01,0
0.11,0,0.01
0.01,0.01,-0.01
-0.07,-0.01,0.01
0.06,0.01,-0.01
-0.09,0,-0.11
0.04,-0.27,-0.15
0.14,0,-0.06
0.14,0.27,0.1
-0.03,0.07,-0.09
-0.24,-0.02,0.08
-0.02,-0.03,0.24
-0.02,0,0.01
0.06,0.01,0.02
-0.01,0,-0.01
0.02,0.01,0
-0.15,-0.01,0
0.3,-0.17,-0.32
0.05,-0.03,-0.02
-0.23,0.23,0.04
0.03,0.07,-0.04
-0.1,-0.08,0.27
0.06,0,0.04
0,0.02,0.02
0.02,0.01,0
0.04,0,-0.02
-0.08,-0.02,0
0.02,-0.01,-0.01
-0.11,0.3,-0.06
0.07,0.2,-0.1
0.27,-0.32,0.1
-0.11,-0.12,-0.03
-0.08,0,-0.11
-0.01,0.08,-0.09
-0.05,-0.15,0.24
0,-0.01,0.06
-0.05,-0.02,0
0.03,-0.01,0
0.02,0,0
0,0,0
0.05,0.03,0
-0.01,0,0.02
-0.01,-0.09,-0.27
0.17,-0.04,-0.02
-0.15,-0.04,-0.04
0,0.38,0.02
0.04,-0.03,0.06
-0.1,-0.17,0.24
0.05,0,0.02
-0.02,0.01,0
0.08,0.01,-0.02
-0.1,-0.02,-0.02
0.06,-0.04,-0.09
0.17,-0.09,-0.19
-0.25,0.09,0.1
0.02,0,0
