min_state,0.31,-0.23,1.37,-1.42,-0.39,1.08,0.26,-0.55,0.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
max_state,0.61,0.01,1.47,0.78,0.18,1.39,0.84,0.62,1.26,0.86,0.55,1.31,1,0.88,0.57,1.33,1,0.86,0.57,1.32,1,0.86,0.65,1.35,1,0.86,0.63,1.32,1
