0.4,-0.16,1.45,0.31,-0.23,1.18,0.4,-0.23,0.92,0.85,-0.15,0.77,0,0.69,-0.08,0.78,1,0.7,0.01,0.77,1,0.78,0.09,0.77,0,0.72,0.19,0.77,0
0.41,-0.14,1.45,0.3,-0.21,1.18,0.51,-0.2,0.92,0.85,-0.15,0.77,0,0.69,-0.08,0.78,1,0.7,0.01,0.77,1,0.78,0.09,0.77,0,0.72,0.19,0.77,0
0.51,-0.13,1.41,0.58,-0.2,1.15,0.69,-0.19,0.95,0.85,-0.15,0.77,0,0.7,-0.08,0.78,1,0.72,0.01,0.77,1,0.78,0.1,0.77,0,0.73,0.19,0.77,0
0.48,-0.15,1.41,0.5,-0.19,1.11,0.4,-0.18,0.85,0.76,-0.13,1.03,0,0.69,-0.08,0.78,1,0.72,0.01,0.77,1,0.78,0.09,0.77,0,0.73,0.19,0.77,0
0.4,-0.15,1.44,0.25,-0.25,1.21,0.49,-0.17,1.12,0.62,-0.11,1.16,0,0.69,-0.08,0.78,1,0.72,0.01,0.77,1,0.78,0.09,0.77,0,0.72,0.19,0.77,0
0.4,-0.15,1.44,0.28,-0.24,1.19,0.3,-0.17,1.2,0.63,-0.1,1.22,0,0.69,-0.08,0.78,1,0.72,0.01,0.77,1,0.79,0.09,0.77,0,0.73,0.19,0.77,0
0.39,-0.14,1.44,0.26,-0.24,1.19,0.5,-0.16,1.17,0.64,-0.11,1.22,0,0.69,-0.08,0.78,1,0.72,0.01,0.77,1,0.79,0.09,0.77,0,0.72,0.19,0.77,0
0.4,-0.15,1.44,0.3,-0.24,1.19,0.38,-0.18,1.18,0.63,-0.11,1.22,0,0.69,-0.08,0.78,1,0.72,0.01,0.77,1,0.79,0.09,0.77,0,0.73,0.19,0.77,0
0.4,-0.14,1.44,0.27,-0.25,1.19,0.48,-0.16,1.18,0.64,-0.11,1.21,0,0.69,-0.08,0.78,1,0.72,0.01,0.77,1,0.79,0.1,0.77,0,0.73,0.19,0.77,0
0.39,-0.14,1.44,0.31,-0.23,1.2,0.37,-0.18,1.17,0.63,-0.1,1.21,0,0.69,-0.08,0.78,1,0.72,0.01,0.77,1,0.79,0.1,0.77,0,0.72,0.19,0.77,0
